"filename", "language", "JavaScript", "CSS", "JSON", "SCSS", "HTML", "comment", "blank", "total"
"c:\nodeprojects\online_school_app\server\models\StudentModel.js", "JavaScript", 53, 0, 0, 0, 0, 1, 4, 58
"c:\nodeprojects\online_school_app\server\models\SubjectsSchema.js", "JavaScript", 13, 0, 0, 0, 0, 0, 1, 14
"c:\nodeprojects\online_school_app\server\models\TaskSchema.js", "JavaScript", 54, 0, 0, 0, 0, 3, 1, 58
"c:\nodeprojects\online_school_app\server\models\TeacherModel.js", "JavaScript", 32, 0, 0, 0, 0, 0, 4, 36
"c:\nodeprojects\online_school_app\server\package.json", "JSON", 0, 0, 32, 0, 0, 0, 1, 33
"c:\nodeprojects\online_school_app\server\public\stylesheets\style.css", "CSS", 0, 7, 0, 0, 0, 0, 2, 9
"c:\nodeprojects\online_school_app\server\routes\apiRouter.js", "JavaScript", 156, 0, 0, 0, 0, 8, 6, 170
"c:\nodeprojects\online_school_app\server\services\attachment.service.js", "JavaScript", 25, 0, 0, 0, 0, 0, 4, 29
"c:\nodeprojects\online_school_app\server\services\group.service.js", "JavaScript", 30, 0, 0, 0, 0, 0, 5, 35
"c:\nodeprojects\online_school_app\server\services\homework.service.js", "JavaScript", 524, 0, 0, 0, 0, 11, 21, 556
"c:\nodeprojects\online_school_app\server\services\student.service.js", "JavaScript", 45, 0, 0, 0, 0, 0, 8, 53
"Total", "-", 3786, 10, 105, 3, 17, 116, 280, 4317
